IDTIPOORGPOLITICA;TXTIPOORGPOLITICA;IDORGPOLITICA;TXORGPOLITICA;TXUBIGEO
10;Candidato Presidente de la República;00000001;EL PORVENIR DE LOS PERUANOS;000000
10;Candidato Presidente de la República;00000002;NO OLVIDES NUNCA RESPIRAR;000000
10;Candidato Presidente de la República;00000003;JÓVENES DEL MAÑANA;000000
10;Candidato Presidente de la República;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
10;Candidato Presidente de la República;00000005;TODOS POR EL GRAN CAMBIO;000000
10;Candidato Presidente de la República;00000007;LUCHEMOS POR LA PAZ;000000
10;Candidato Presidente de la República;00000008;LA VIDA NO ES UN DON GRATUITO;000000
10;Candidato Presidente de la República;00000009;LOS PERUANOS SI PODEMOS;000000
10;Candidato Presidente de la República;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
10;Candidato Presidente de la República;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
10;Candidato Presidente de la República;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
10;Candidato Presidente de la República;00000014;SOMOS EL FUTURO DEL MUNDO;000000
10;Candidato Presidente de la República;00000015;NACIÓ LA ESPERANZA;000000
10;Candidato Presidente de la República;00000016;CREEMOS EN NUESTRAS POSIBILIDADES;000000
10;Candidato Presidente de la República;00000017;PAZ, ARMONÍA Y AMOR;000000
10;Candidato Presidente de la República;00000018;CONSTRUYAMOS UN MUNDO MEJOR;000000
10;Candidato Presidente de la República;00000019;DEMOCRACIA PARA VIVIR EN PAZ;000000
10;Candidato Presidente de la República;00000020;NADIE NOS PROMETIÓ UN JARDÍN DE ROSAS;000000
10;Candidato Presidente de la República;00000021;AMAR ES COMPARTIR;000000
10;Candidato Presidente de la República;00000022;DIOS ES EL CAMINO DE VIDA;000000
10;Candidato Presidente de la República;00000023;SIN MENTIRAS NI DEMAGOGIA;000000
10;Candidato Presidente de la República;00000024;CUANDO PASE EL TEMBLOR;000000
10;Candidato Presidente de la República;00000025;CREEMOS EN HECHOS Y NO EN PALABRAS;000000
10;Candidato Presidente de la República;00000026;PERÚ APRENDAMOS A DECIDIR;000000
10;Candidato Presidente de la República;00000027;LA SEGURIDAD ES PRIMERO;000000
10;Candidato Presidente de la República;00000030;EDUCACIÓN DE PRIMERA PARA EL PUEBLO;000000
10;Candidato Presidente de la República;00000031;SOMOS DUEÑOS DE NUESTROS ACTOS;000000
10;Candidato Presidente de la República;00000032;POR UN PERÚ MODERNO;000000
10;Candidato Presidente de la República;00000033;PODER PERO NO DEMAGOGIA;000000
10;Candidato Presidente de la República;00000034;TÚ NO ESTÁS SOLO;000000
10;Candidato Presidente de la República;00000035;DA TU MANO A LOS DEMÁS;000000
10;Candidato Presidente de la República;00000036;CREO EN EL PADRE Y EN EL HOMBRE PERO CREO MÁS EN TI;000000
10;Candidato Presidente de la República;00000037;PARA AMAR NO NECESITAS PALABRAS;000000
10;Candidato Presidente de la República;00000038;JUNTOS POR NUESTRO BIENESTAR;000000
10;Candidato Presidente de la República;00000040;TENEMOS VOLUNTAD DE SER MEJORES;000000
10;Candidato Presidente de la República;00000103;TODOS EN PAZ Y AMOR;000000
10;Candidato Presidente de la República;00000104;CONQUISTATE A TI MISMO;000000
11;Candidato Primer Vicepresidente de la República;00000001;EL PORVENIR DE LOS PERUANOS;000000
11;Candidato Primer Vicepresidente de la República;00000002;NO OLVIDES NUNCA RESPIRAR;000000
11;Candidato Primer Vicepresidente de la República;00000003;JÓVENES DEL MAÑANA;000000
11;Candidato Primer Vicepresidente de la República;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
11;Candidato Primer Vicepresidente de la República;00000005;TODOS POR EL GRAN CAMBIO;000000
11;Candidato Primer Vicepresidente de la República;00000007;LUCHEMOS POR LA PAZ;000000
11;Candidato Primer Vicepresidente de la República;00000008;LA VIDA NO ES UN DON GRATUITO;000000
11;Candidato Primer Vicepresidente de la República;00000009;LOS PERUANOS SI PODEMOS;000000
11;Candidato Primer Vicepresidente de la República;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
11;Candidato Primer Vicepresidente de la República;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
11;Candidato Primer Vicepresidente de la República;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
11;Candidato Primer Vicepresidente de la República;00000014;SOMOS EL FUTURO DEL MUNDO;000000
11;Candidato Primer Vicepresidente de la República;00000015;NACIÓ LA ESPERANZA;000000
11;Candidato Primer Vicepresidente de la República;00000016;CREEMOS EN NUESTRAS POSIBILIDADES;000000
11;Candidato Primer Vicepresidente de la República;00000017;PAZ, ARMONÍA Y AMOR;000000
11;Candidato Primer Vicepresidente de la República;00000018;CONSTRUYAMOS UN MUNDO MEJOR;000000
11;Candidato Primer Vicepresidente de la República;00000019;DEMOCRACIA PARA VIVIR EN PAZ;000000
11;Candidato Primer Vicepresidente de la República;00000020;NADIE NOS PROMETIÓ UN JARDÍN DE ROSAS;000000
11;Candidato Primer Vicepresidente de la República;00000021;AMAR ES COMPARTIR;000000
11;Candidato Primer Vicepresidente de la República;00000022;DIOS ES EL CAMINO DE VIDA;000000
11;Candidato Primer Vicepresidente de la República;00000023;SIN MENTIRAS NI DEMAGOGIA;000000
11;Candidato Primer Vicepresidente de la República;00000024;CUANDO PASE EL TEMBLOR;000000
11;Candidato Primer Vicepresidente de la República;00000025;CREEMOS EN HECHOS Y NO EN PALABRAS;000000
11;Candidato Primer Vicepresidente de la República;00000026;PERÚ APRENDAMOS A DECIDIR;000000
11;Candidato Primer Vicepresidente de la República;00000027;LA SEGURIDAD ES PRIMERO;000000
11;Candidato Primer Vicepresidente de la República;00000030;EDUCACIÓN DE PRIMERA PARA EL PUEBLO;000000
11;Candidato Primer Vicepresidente de la República;00000031;SOMOS DUEÑOS DE NUESTROS ACTOS;000000
11;Candidato Primer Vicepresidente de la República;00000032;POR UN PERÚ MODERNO;000000
11;Candidato Primer Vicepresidente de la República;00000033;PODER PERO NO DEMAGOGIA;000000
11;Candidato Primer Vicepresidente de la República;00000034;TÚ NO ESTÁS SOLO;000000
11;Candidato Primer Vicepresidente de la República;00000035;DA TU MANO A LOS DEMÁS;000000
11;Candidato Primer Vicepresidente de la República;00000036;CREO EN EL PADRE Y EN EL HOMBRE PERO CREO MÁS EN TI;000000
11;Candidato Primer Vicepresidente de la República;00000037;PARA AMAR NO NECESITAS PALABRAS;000000
11;Candidato Primer Vicepresidente de la República;00000038;JUNTOS POR NUESTRO BIENESTAR;000000
11;Candidato Primer Vicepresidente de la República;00000040;TENEMOS VOLUNTAD DE SER MEJORES;000000
11;Candidato Primer Vicepresidente de la República;00000103;TODOS EN PAZ Y AMOR;000000
11;Candidato Primer Vicepresidente de la República;00000104;CONQUISTATE A TI MISMO;000000
12;Candidato Segundo Vicepresidente de la República;00000001;EL PORVENIR DE LOS PERUANOS;000000
12;Candidato Segundo Vicepresidente de la República;00000002;NO OLVIDES NUNCA RESPIRAR;000000
12;Candidato Segundo Vicepresidente de la República;00000003;JÓVENES DEL MAÑANA;000000
12;Candidato Segundo Vicepresidente de la República;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
12;Candidato Segundo Vicepresidente de la República;00000005;TODOS POR EL GRAN CAMBIO;000000
12;Candidato Segundo Vicepresidente de la República;00000007;LUCHEMOS POR LA PAZ;000000
12;Candidato Segundo Vicepresidente de la República;00000008;LA VIDA NO ES UN DON GRATUITO;000000
12;Candidato Segundo Vicepresidente de la República;00000009;LOS PERUANOS SI PODEMOS;000000
12;Candidato Segundo Vicepresidente de la República;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
12;Candidato Segundo Vicepresidente de la República;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
12;Candidato Segundo Vicepresidente de la República;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
12;Candidato Segundo Vicepresidente de la República;00000014;SOMOS EL FUTURO DEL MUNDO;000000
12;Candidato Segundo Vicepresidente de la República;00000015;NACIÓ LA ESPERANZA;000000
12;Candidato Segundo Vicepresidente de la República;00000016;CREEMOS EN NUESTRAS POSIBILIDADES;000000
12;Candidato Segundo Vicepresidente de la República;00000017;PAZ, ARMONÍA Y AMOR;000000
12;Candidato Segundo Vicepresidente de la República;00000018;CONSTRUYAMOS UN MUNDO MEJOR;000000
12;Candidato Segundo Vicepresidente de la República;00000019;DEMOCRACIA PARA VIVIR EN PAZ;000000
12;Candidato Segundo Vicepresidente de la República;00000020;NADIE NOS PROMETIÓ UN JARDÍN DE ROSAS;000000
12;Candidato Segundo Vicepresidente de la República;00000021;AMAR ES COMPARTIR;000000
12;Candidato Segundo Vicepresidente de la República;00000022;DIOS ES EL CAMINO DE VIDA;000000
12;Candidato Segundo Vicepresidente de la República;00000023;SIN MENTIRAS NI DEMAGOGIA;000000
12;Candidato Segundo Vicepresidente de la República;00000024;CUANDO PASE EL TEMBLOR;000000
12;Candidato Segundo Vicepresidente de la República;00000025;CREEMOS EN HECHOS Y NO EN PALABRAS;000000
12;Candidato Segundo Vicepresidente de la República;00000026;PERÚ APRENDAMOS A DECIDIR;000000
12;Candidato Segundo Vicepresidente de la República;00000027;LA SEGURIDAD ES PRIMERO;000000
12;Candidato Segundo Vicepresidente de la República;00000030;EDUCACIÓN DE PRIMERA PARA EL PUEBLO;000000
12;Candidato Segundo Vicepresidente de la República;00000031;SOMOS DUEÑOS DE NUESTROS ACTOS;000000
12;Candidato Segundo Vicepresidente de la República;00000032;POR UN PERÚ MODERNO;000000
12;Candidato Segundo Vicepresidente de la República;00000033;PODER PERO NO DEMAGOGIA;000000
12;Candidato Segundo Vicepresidente de la República;00000034;TÚ NO ESTÁS SOLO;000000
12;Candidato Segundo Vicepresidente de la República;00000035;DA TU MANO A LOS DEMÁS;000000
12;Candidato Segundo Vicepresidente de la República;00000036;CREO EN EL PADRE Y EN EL HOMBRE PERO CREO MÁS EN TI;000000
12;Candidato Segundo Vicepresidente de la República;00000037;PARA AMAR NO NECESITAS PALABRAS;000000
12;Candidato Segundo Vicepresidente de la República;00000038;JUNTOS POR NUESTRO BIENESTAR;000000
12;Candidato Segundo Vicepresidente de la República;00000040;TENEMOS VOLUNTAD DE SER MEJORES;000000
12;Candidato Segundo Vicepresidente de la República;00000103;TODOS EN PAZ Y AMOR;000000
12;Candidato Segundo Vicepresidente de la República;00000104;CONQUISTATE A TI MISMO;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000001;EL PORVENIR DE LOS PERUANOS;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000002;NO OLVIDES NUNCA RESPIRAR;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
